# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationMaxMs,1754983603342000000,1754983619720000000,0.0
Indexing.cache.totalCacheMisses,1754983603342000000,1754983619720000000,1329
Indexes.stubs.lookups,1754983603342000000,1754983619720000000,2231
Indexing.writer_2.totalTimeSpentWritingMs,1754983603342000000,1754983619720000000,0
Indexing.writesQueuedAvg,1754983603342000000,1754983619720000000,0.0
Indexing.writesQueuedMin,1754983603342000000,1754983619720000000,0
Indexes.allKeys.lookupDuration90PMs,1754983603342000000,1754983619720000000,0.0
Indexes.entries.lookups,1754983603342000000,1754983619720000000,43
Indexes.allKeys.lookupDurationAvgMs,1754983603342000000,1754983619720000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1754983603342000000,1754983619720000000,0
Indexing.cache.totalCacheEvicted,1754983603342000000,1754983619720000000,1329
Indexing.totalTimeIndexersSleptMs,1754983603342000000,1754983619720000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1754983603342000000,1754983619720000000,0
Indexes.entries.lookupDuration90PMs,1754983603342000000,1754983619720000000,2.0
Indexing.writesQueuedMax,1754983603342000000,1754983619720000000,0
Indexes.entries.lookupDurationAvgMs,1754983603342000000,1754983619720000000,0.813953488372093
Indexing.writer_0.totalTimeSpentWritingMs,1754983603342000000,1754983619720000000,0
Indexes.stubs.lookupDurationAvgMs,1754983603342000000,1754983619720000000,0.09172259507829977
Indexes.stubs.lookupDurationMaxMs,1754983603342000000,1754983619720000000,52.0
Indexes.allKeys.lookups,1754983603342000000,1754983619720000000,0
Indexes.entries.lookupDurationMaxMs,1754983603342000000,1754983619720000000,12.0
Indexes.stubs.lookupDuration90PMs,1754983603342000000,1754983619720000000,0.0
Indexing.cache.totalCacheAccesses,1754983603342000000,1754983619720000000,3010
FlushQueue.executionTimeAvgNs,1754983603342000000,1754983619720000000,750903.7045573599
AWTEventQueue.eventsDispatched,1754983603342000000,1754983619720000000,1663
FlushQueue.queueSizeAvg,1754983603342000000,1754983619720000000,19.38082765845993
AWTEventQueue.dispatchTimeTotalNS,1754983603342000000,1754983619720000000,2672515957
WriteAction.executionsCount,1754983603342000000,1754983619720000000,14
AWTEventQueue.dispatchTime90PNs,1754983603342000000,1754983619720000000,2703359
NonBlockingReadAction.finalizedExecutionTimeUs,1754983603342000000,1754983619720000000,732551
FlushQueue.waitingTimeAvgNs,1754983603342000000,1754983619720000000,3.892267762388685E7
ReadAction.executionsCount,1754983603342000000,1754983619720000000,122002
NonBlockingReadAction.failedExecutionsCount,1754983603342000000,1754983619720000000,2
NonBlockingReadAction.failedExecutionTimeUs,1754983603342000000,1754983619720000000,25242
FlushQueue.executionTimeMaxNs,1754983603342000000,1754983619720000000,176160767
FlushQueue.waitingTimeMaxNs,1754983603342000000,1754983619720000000,314572799
AWTEventQueue.dispatchTimeMaxNs,1754983603342000000,1754983619720000000,180355071
FlushQueue.queueSize90P,1754983603342000000,1754983619720000000,79
FlushQueue.tasksExecuted,1754983603342000000,1754983619720000000,1909
FlushQueue.executionTime90PNs,1754983603342000000,1754983619720000000,407551
FlushQueue.queueSizeMax,1754983603342000000,1754983619720000000,124
FlushQueue.waitingTime90PNs,1754983603342000000,1754983619720000000,138412031
AWTEventQueue.dispatchTimeAvgNs,1754983603342000000,1754983619720000000,1607175.9182200842
NonBlockingReadAction.finalizedExecutionsCount,1754983603342000000,1754983619720000000,75
parser.JAVA.size.bytes,1754983603342000000,1754983619720000000,14718
writeAction.max.wait.ms,1754983603342000000,1754983619720000000,0
DiskQueryRelay.tasksExecuted,1754983603342000000,1754983619720000000,448
parser.XML.time.ns,1754983603342000000,1754983619720000000,7149083
lexer.XML.time.ns,1754983603342000000,1754983619720000000,234250
lexer.JAVA.time.ns,1754983603342000000,1754983619720000000,7600294
DiskQueryRelay.taskExecutionTotalTimeUs,1754983603342000000,1754983619720000000,705609
lexer.XML.size.bytes,1754983603342000000,1754983619720000000,649
writeAction.wait.ms,1754983603342000000,1754983619720000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1754983603342000000,1754983619720000000,2311350
writeAction.median.wait.ms,1754983603342000000,1754983619720000000,0
parser.JAVA.time.ns,1754983603342000000,1754983619720000000,51970455
writeAction.count,1754983603342000000,1754983619720000000,14
DiskQueryRelay.tasksRequested,1754983603342000000,1754983619720000000,1162
lexer.JAVA.size.bytes,1754983603342000000,1754983619720000000,14718
parser.XML.size.bytes,1754983603342000000,1754983619720000000,649
JVM.committedHeapBytes,1754983603342000000,1754983619720000000,691011584
MEM.ramBytes,1754983603342000000,1754983619720000000,2045378560
MEM.fileMappingsRamBytes,1754983603342000000,1754983619720000000,446824448
JVM.GC.collections,1754983603342000000,1754983619720000000,42
MEM.ramPlusSwapMinusFileMappingsBytes,1754983603342000000,1754983619720000000,1506424448
JVM.totalDirectByteBuffersBytes,1754983603342000000,1754983619720000000,50400000
JVM.totalSafepointCount,1754983603342000000,1754983619720000000,350
JVM.totalBytesAllocated,1754983603342000000,1754983619720000000,2714250232
JVM.totalCpuTimeMs,1754983603342000000,1754983619720000000,35747
JVM.totalTimeAtSafepointsMs,1754983603342000000,1754983619720000000,207
JVM.newThreadsCount,1754983603342000000,1754983619720000000,139
JVM.threadCount,1754983603342000000,1754983619720000000,132
JVM.GC.collectionTimesMs,1754983603342000000,1754983619720000000,193
JVM.maxHeapBytes,1754983603342000000,1754983619720000000,2147483648
JVM.maxThreadCount,1754983603342000000,1754983619720000000,134
JVM.usedNativeBytes,1754983603342000000,1754983619720000000,389850896
JVM.usedHeapBytes,1754983603342000000,1754983619720000000,375914496
OS.loadAverage,1754983603342000000,1754983619720000000,1.9970703125
JVM.totalTimeToSafepointsMs,1754983603342000000,1754983619720000000,48
MEM.ramMinusFileMappingsBytes,1754983603342000000,1754983619720000000,1360576512
cacheStateStorage.set.duration,1754983603342000000,1754983619720000000,7
cacheStateStorage.set.counter,1754983603342000000,1754983619720000000,3
cacheStateStorage.get.counter,1754983603342000000,1754983619720000000,26
cacheStateStorage.get.duration,1754983603342000000,1754983619720000000,44
workspaceModel.updates.ms,1754983603342000000,1754983619720000000,32
workspaceModel.on.before.changed.ms,1754983603342000000,1754983619720000000,14
workspaceModel.pre.handlers.ms,1754983603342000000,1754983619720000000,1
workspaceModel.full.replace.project.model.ms,1754983603342000000,1754983619720000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1754983603342000000,1754983619720000000,0
workspaceModel.cachedValue.from.cache.count,1754983603342000000,1754983619720000000,253
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1754983603342000000,1754983619720000000,47
workspaceModel.update.unloaded.entities.ms,1754983603342000000,1754983619720000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1754983603342000000,1754983619720000000,0
workspaceModel.initializing.ms,1754983603342000000,1754983619720000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1754983603342000000,1754983619720000000,259
workspaceModel.entityStorageSnapshotImpl.instances.count,1754983603342000000,1754983619720000000,22
workspaceModel.updates.precise.ms,1754983603342000000,1754983619720000000,5
workspaceModel.check.recursive.update.ms,1754983603342000000,1754983619720000000,0
workspaceModel.updates.count,1754983603342000000,1754983619720000000,4
workspaceModel.cachedValueWithParameters.clear.count,1754983603342000000,1754983619720000000,0
workspaceModel.collect.changes.ms,1754983603342000000,1754983619720000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1754983603342000000,1754983619720000000,0
workspaceModel.cachedValue.total.get.count,1754983603342000000,1754983619720000000,268
workspaceModel.on.changed.ms,1754983603342000000,1754983619720000000,9
workspaceModel.cachedValue.calculated.count,1754983603342000000,1754983619720000000,15
workspaceModel.workspaceFileIndexData.markDirty.ms,1754983603342000000,1754983619720000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1754983603342000000,1754983619720000000,97
workspaceModel.workspaceFileIndexData.init.ms,1754983603342000000,1754983619720000000,62
workspaceModel.loading.total.ms,1754983603342000000,1754983619720000000,70
workspaceModel.workspaceFileIndexData.getPackageName.ms,1754983603342000000,1754983619720000000,6
workspaceModel.loading.from.cache.ms,1754983603342000000,1754983619720000000,65
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1754983603342000000,1754983619720000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1754983603342000000,1754983619720000000,3
workspaceModel.init.bridges.ms,1754983603342000000,1754983619720000000,1
workspaceModel.workspaceFileIndexData.instances.count,1754983603342000000,1754983619720000000,1
workspaceModel.cachedValue.clear.count,1754983603342000000,1754983619720000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1754983603342000000,1754983619720000000,0
workspaceModel.to.snapshot.ms,1754983603342000000,1754983619720000000,1
workspaceModel.replace.project.model.ms,1754983603342000000,1754983619720000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1754983603342000000,1754983619720000000,0
VFS.fileByIdCache.hits,1754983603342000000,1754983619720000000,0
VFS.fileByIdCache.misses,1754983603342000000,1754983619720000000,222
VFS.fileChildByName,1754983603342000000,1754983619720000000,5437
VFS.invertedFileNameIndex.requests,1754983603342000000,1754983619720000000,8
compiler.ArtifactManagerBridge.addArtifact.ms,1754983603342000000,1754983619720000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1754983603342000000,1754983619720000000,1
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1754983603342000000,1754983619720000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1754983603342000000,1754983619720000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1754983603342000000,1754983619720000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1754983603342000000,1754983619720000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1754983603342000000,1754983619720000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1754983603342000000,1754983619720000000,0
