# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1754983173151000000,1754983220679000000,219
DirectByteBufferAllocator.hits,1754983173151000000,1754983220679000000,3
FilePageCache.totalPageLoadsUs,1754983173151000000,1754983220679000000,182125
DirectByteBufferAllocator.misses,1754983173151000000,1754983220679000000,216
FilePageCache.maxRegisteredFiles,1754983173151000000,1754983220679000000,538
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1754983173151000000,1754983220679000000,41959424
FilePageCache.capacityInBytes,1754983173151000000,1754983220679000000,629145600
FilePageCache.totalPageDisposalsUs,1754983173151000000,1754983220679000000,497
FileChannelInterruptsRetryer.totalRetriedAttempts,1754983173151000000,1754983220679000000,0
FilePageCache.maxCacheSizeInBytes,1754983173151000000,1754983220679000000,224411648
FilePageCache.disposedBuffers,1754983173151000000,1754983220679000000,219
FilePageCache.pageFastCacheHits,1754983173151000000,1754983220679000000,4814
StorageLockContext.competingThreads.avg,1754983173151000000,1754983220679000000,0.0
FilePageCache.uncachedFileAccess,1754983173151000000,1754983220679000000,159
StorageLockContext.competingThreads.max,1754983173151000000,1754983220679000000,0
DirectByteBufferAllocator.reclaimed,1754983173151000000,1754983220679000000,45
DirectByteBufferAllocator.disposed,1754983173151000000,1754983220679000000,174
FilePageCache.pageHits,1754983173151000000,1754983220679000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1754983173151000000,1754983220679000000,0
StorageLockContext.competingThreads.90P,1754983173151000000,1754983220679000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1754983173151000000,1754983220679000000,41959424
JVM.committedHeapBytes,1754983173151000000,1754983220679000000,807403520
JVM.totalBytesAllocated,1754983173151000000,1754983220679000000,3347067392
JVM.GC.collectionTimesMs,1754983173151000000,1754983220679000000,282
JVM.maxThreadCount,1754983173151000000,1754983220679000000,132
JVM.totalDirectByteBuffersBytes,1754983173151000000,1754983220679000000,48077152
MEM.fileMappingsRamBytes,1754983173151000000,1754983220679000000,498614272
MEM.ramMinusFileMappingsBytes,1754983173151000000,1754983220679000000,1512882176
JVM.totalSafepointCount,1754983173151000000,1754983220679000000,321
JVM.usedHeapBytes,1754983173151000000,1754983220679000000,571470368
JVM.totalTimeToSafepointsMs,1754983173151000000,1754983220679000000,34
JVM.newThreadsCount,1754983173151000000,1754983220679000000,403
JVM.maxHeapBytes,1754983173151000000,1754983220679000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1754983173151000000,1754983220679000000,1656059712
JVM.threadCount,1754983173151000000,1754983220679000000,117
JVM.usedNativeBytes,1754983173151000000,1754983220679000000,473462168
JVM.totalTimeAtSafepointsMs,1754983173151000000,1754983220679000000,302
JVM.totalCpuTimeMs,1754983173151000000,1754983220679000000,52548
MEM.ramBytes,1754983173151000000,1754983220679000000,2037514240
OS.loadAverage,1754983173151000000,1754983220679000000,2.7890625
JVM.GC.collections,1754983173151000000,1754983220679000000,51
workspaceModel.global.updates.ms,1754983173151000000,1754983220679000000,5
jps.load.initial.state.ms,1754983173151000000,1754983220679000000,6
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1754983173151000000,1754983220679000000,2
workspaceModel.mutableEntityStorage.instances.count,1754983173151000000,1754983220679000000,40
workspaceModel.mutableEntityStorage.referrers.ms,1754983173151000000,1754983220679000000,0
jps.artifact.entities.serializer.load.entities.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1754983173151000000,1754983220679000000,0
workspaceModel.save.cache.to.file.ms,1754983173151000000,1754983220679000000,36
jps.global.handle.changed.events.ms,1754983173151000000,1754983220679000000,0
jps.global.get.library.by.name.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1754983173151000000,1754983220679000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1754983173151000000,1754983220679000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1754983173151000000,1754983220679000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1754983173151000000,1754983220679000000,0
workspaceModel.load.cache.metadata.from.file.ms,1754983173151000000,1754983220679000000,9
workspaceModel.orphan.listener.update.ms,1754983173151000000,1754983220679000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1754983173151000000,1754983220679000000,0
workspaceModel.sync.entities.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1754983173151000000,1754983220679000000,0
jps.apply.loaded.storage.ms,1754983173151000000,1754983220679000000,6
workspaceModel.mutableEntityStorage.modify.entity.ms,1754983173151000000,1754983220679000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1754983173151000000,1754983220679000000,14
jps.save.changed.project.entities.ms,1754983173151000000,1754983220679000000,1
jps.library.entities.serializer.save.entities.ms,1754983173151000000,1754983220679000000,0
jps.save.global.entities.ms,1754983173151000000,1754983220679000000,28
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1754983173151000000,1754983220679000000,0
jps.global.handle.before.change.events.ms,1754983173151000000,1754983220679000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1754983173151000000,1754983220679000000,7
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1754983173151000000,1754983220679000000,0
jps.library.entities.serializer.load.entities.ms,1754983173151000000,1754983220679000000,0
jps.facet.change.listener.process.change.events.ms,1754983173151000000,1754983220679000000,0
workspaceModel.global.updates.count,1754983173151000000,1754983220679000000,1
jps.module.iml.entities.serializer.save.entities.ms,1754983173151000000,1754983220679000000,0
jps.load.project.to.empty.storage.ms,1754983173151000000,1754983220679000000,36
jps.artifact.entities.serializer.save.entities.ms,1754983173151000000,1754983220679000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1754983173151000000,1754983220679000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1754983173151000000,1754983220679000000,42
jps.app.storage.content.writer.save.component.ms,1754983173151000000,1754983220679000000,15
workspaceModel.global.apply.state.to.project.builder.ms,1754983173151000000,1754983220679000000,1
