# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.sync.entities.ms,1754982775651000000,1754982783418000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1754982775651000000,1754982783418000000,0
jps.global.get.library.ms,1754982775651000000,1754982783418000000,0
jps.global.get.libraries.ms,1754982775651000000,1754982783418000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1754982775651000000,1754982783418000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1754982775651000000,1754982783418000000,4
workspaceModel.global.apply.state.to.project.ms,1754982775651000000,1754982783418000000,0
workspaceModel.cachedValue.total.get.count,1754982775651000000,1754982783418000000,8
workspaceModel.init.bridges.ms,1754982775651000000,1754982783418000000,0
workspaceModel.full.replace.project.model.ms,1754982775651000000,1754982783418000000,0
workspaceModel.check.recursive.update.ms,1754982775651000000,1754982783418000000,0
workspaceModel.updates.ms,1754982775651000000,1754982783418000000,0
workspaceModel.cachedValueWithParameters.clear.count,1754982775651000000,1754982783418000000,0
workspaceModel.loading.from.cache.ms,1754982775651000000,1754982783418000000,1
workspaceModel.cachedValue.clear.count,1754982775651000000,1754982783418000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1754982775651000000,1754982783418000000,0
workspaceModel.initializing.ms,1754982775651000000,1754982783418000000,0
workspaceModel.updates.precise.ms,1754982775651000000,1754982783418000000,0
workspaceModel.to.snapshot.ms,1754982775651000000,1754982783418000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1754982775651000000,1754982783418000000,0
workspaceModel.loading.total.ms,1754982775651000000,1754982783418000000,3
workspaceModel.cachedValue.calculated.count,1754982775651000000,1754982783418000000,1
workspaceModel.update.unloaded.entities.ms,1754982775651000000,1754982783418000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1754982775651000000,1754982783418000000,0
workspaceModel.cachedValue.from.cache.count,1754982775651000000,1754982783418000000,7
workspaceModel.entityStorageSnapshotImpl.instances.count,1754982775651000000,1754982783418000000,5
workspaceModel.updates.count,1754982775651000000,1754982783418000000,0
workspaceModel.on.changed.ms,1754982775651000000,1754982783418000000,0
workspaceModel.replace.project.model.ms,1754982775651000000,1754982783418000000,0
workspaceModel.collect.changes.ms,1754982775651000000,1754982783418000000,0
workspaceModel.on.before.changed.ms,1754982775651000000,1754982783418000000,0
workspaceModel.pre.handlers.ms,1754982775651000000,1754982783418000000,0
Indexing.cache.totalCacheEvicted,1754982775651000000,1754982783418000000,0
Indexing.writesQueuedMax,1754982775651000000,1754982783418000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1754982775651000000,1754982783418000000,0
Indexing.cache.totalCacheMisses,1754982775651000000,1754982783418000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1754982775651000000,1754982783418000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1754982775651000000,1754982783418000000,0
Indexing.writesQueuedMin,1754982775651000000,1754982783418000000,9223372036854775807
Indexing.totalTimeIndexersSleptMs,1754982775651000000,1754982783418000000,0
Indexing.cache.totalCacheAccesses,1754982775651000000,1754982783418000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1754982775651000000,1754982783418000000,0
DiskQueryRelay.tasksExecuted,1754982775651000000,1754982783418000000,40
DiskQueryRelay.tasksRequested,1754982775651000000,1754982783418000000,40
writeAction.wait.ms,1754982775651000000,1754982783418000000,0
writeAction.median.wait.ms,1754982775651000000,1754982783418000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1754982775651000000,1754982783418000000,4931
writeAction.max.wait.ms,1754982775651000000,1754982783418000000,0
writeAction.count,1754982775651000000,1754982783418000000,2
DiskQueryRelay.taskExecutionTotalTimeUs,1754982775651000000,1754982783418000000,1058
