# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalTimeToSafepointsMs,1754983233634000000,1754983293642000000,27
JVM.usedNativeBytes,1754983233634000000,1754983293642000000,424028872
JVM.totalCpuTimeMs,1754983233634000000,1754983293642000000,49647
JVM.committedHeapBytes,1754983233634000000,1754983293642000000,534773760
JVM.threadCount,1754983233634000000,1754983293642000000,130
JVM.totalTimeAtSafepointsMs,1754983233634000000,1754983293642000000,245
JVM.totalSafepointCount,1754983233634000000,1754983293642000000,294
MEM.ramMinusFileMappingsBytes,1754983233634000000,1754983293642000000,1173422080
JVM.GC.collectionTimesMs,1754983233634000000,1754983293642000000,228
JVM.newThreadsCount,1754983233634000000,1754983293642000000,150
JVM.totalBytesAllocated,1754983233634000000,1754983293642000000,2767779696
MEM.fileMappingsRamBytes,1754983233634000000,1754983293642000000,463585280
JVM.maxThreadCount,1754983233634000000,1754983293642000000,132
JVM.GC.collections,1754983233634000000,1754983293642000000,52
JVM.maxHeapBytes,1754983233634000000,1754983293642000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1754983233634000000,1754983293642000000,1709307328
OS.loadAverage,1754983233634000000,1754983293642000000,4.02490234375
JVM.totalDirectByteBuffersBytes,1754983233634000000,1754983293642000000,246657416
MEM.ramBytes,1754983233634000000,1754983293642000000,1661861888
JVM.usedHeapBytes,1754983233634000000,1754983293642000000,409249264
AWTEventQueue.dispatchTime90PNs,1754983233634000000,1754983293642000000,724991
AWTEventQueue.eventsDispatched,1754983233634000000,1754983293642000000,12211
FlushQueue.queueSize90P,1754983233634000000,1754983293642000000,44
WriteAction.executionsCount,1754983233634000000,1754983293642000000,12
NonBlockingReadAction.finalizedExecutionsCount,1754983233634000000,1754983293642000000,113
AWTEventQueue.dispatchTimeMaxNs,1754983233634000000,1754983293642000000,150994943
FlushQueue.tasksExecuted,1754983233634000000,1754983293642000000,3480
FlushQueue.executionTime90PNs,1754983233634000000,1754983293642000000,258047
NonBlockingReadAction.finalizedExecutionTimeUs,1754983233634000000,1754983293642000000,172186
FlushQueue.executionTimeAvgNs,1754983233634000000,1754983293642000000,398513.383908046
FlushQueue.waitingTimeAvgNs,1754983233634000000,1754983293642000000,1.4220757714942528E7
FlushQueue.waitingTimeMaxNs,1754983233634000000,1754983293642000000,220200959
ReadAction.executionsCount,1754983233634000000,1754983293642000000,17997
NonBlockingReadAction.failedExecutionsCount,1754983233634000000,1754983293642000000,0
AWTEventQueue.dispatchTimeTotalNS,1754983233634000000,1754983293642000000,5615241568
NonBlockingReadAction.failedExecutionTimeUs,1754983233634000000,1754983293642000000,0
FlushQueue.queueSizeMax,1754983233634000000,1754983293642000000,99
FlushQueue.queueSizeAvg,1754983233634000000,1754983293642000000,9.183620689655172
FlushQueue.executionTimeMaxNs,1754983233634000000,1754983293642000000,146800639
FlushQueue.waitingTime90PNs,1754983233634000000,1754983293642000000,50593791
AWTEventQueue.dispatchTimeAvgNs,1754983233634000000,1754983293642000000,459774.0450413562
workspaceModel.cachedValue.calculated.count,1754983233634000000,1754983293642000000,15
workspaceModel.pre.handlers.ms,1754983233634000000,1754983293642000000,0
workspaceModel.cachedValue.from.cache.count,1754983233634000000,1754983293642000000,346
workspaceModel.cachedValueWithParameters.total.get.count,1754983233634000000,1754983293642000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1754983233634000000,1754983293642000000,51
workspaceModel.collect.changes.ms,1754983233634000000,1754983293642000000,0
workspaceModel.check.recursive.update.ms,1754983233634000000,1754983293642000000,0
workspaceModel.init.bridges.ms,1754983233634000000,1754983293642000000,25
workspaceModel.cachedValueWithParameters.calculated.count,1754983233634000000,1754983293642000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1754983233634000000,1754983293642000000,7
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1754983233634000000,1754983293642000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1754983233634000000,1754983293642000000,0
workspaceModel.initializing.ms,1754983233634000000,1754983293642000000,25
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1754983233634000000,1754983293642000000,0
workspaceModel.on.changed.ms,1754983233634000000,1754983293642000000,11
workspaceModel.workspaceFileIndexData.instances.count,1754983233634000000,1754983293642000000,1
workspaceModel.on.before.changed.ms,1754983233634000000,1754983293642000000,13
workspaceModel.workspaceFileIndexData.init.ms,1754983233634000000,1754983293642000000,58
workspaceModel.cachedValueWithParameters.from.cache.count,1754983233634000000,1754983293642000000,0
workspaceModel.full.replace.project.model.ms,1754983233634000000,1754983293642000000,1
workspaceModel.replace.project.model.ms,1754983233634000000,1754983293642000000,0
workspaceModel.to.snapshot.ms,1754983233634000000,1754983293642000000,1
workspaceModel.updates.count,1754983233634000000,1754983293642000000,4
workspaceModel.updates.ms,1754983233634000000,1754983293642000000,57
workspaceModel.updates.precise.ms,1754983233634000000,1754983293642000000,7
workspaceModel.loading.from.cache.ms,1754983233634000000,1754983293642000000,75
workspaceModel.entityStorageSnapshotImpl.instances.count,1754983233634000000,1754983293642000000,22
workspaceModel.cachedValue.total.get.count,1754983233634000000,1754983293642000000,361
workspaceModel.cachedValueWithParameters.clear.count,1754983233634000000,1754983293642000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1754983233634000000,1754983293642000000,96
workspaceModel.workspaceFileIndexData.markDirty.ms,1754983233634000000,1754983293642000000,0
workspaceModel.loading.total.ms,1754983233634000000,1754983293642000000,80
workspaceModel.cachedValue.clear.count,1754983233634000000,1754983293642000000,0
workspaceModel.update.unloaded.entities.ms,1754983233634000000,1754983293642000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1754983233634000000,1754983293642000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1754983233634000000,1754983293642000000,37
FilePageCache.totalPageLoadsUs,1754983233634000000,1754983293642000000,133768
MappedFileStorage.totalPagesMapped,1754983233634000000,1754983293642000000,16
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1754983233634000000,1754983293642000000,0
DirectByteBufferAllocator.hits,1754983233634000000,1754983293642000000,3
StreamlinedBlobStorage.recordsRelocated,1754983233634000000,1754983293642000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1754983233634000000,1754983293642000000,240140288
FilePageCache.maxRegisteredFiles,1754983233634000000,1754983293642000000,538
StreamlinedBlobStorage.recordsDeleted,1754983233634000000,1754983293642000000,3
FilePageCache.maxCacheSizeInBytes,1754983233634000000,1754983293642000000,240140288
FilePageCache.totalPageDisposalsUs,1754983233634000000,1754983293642000000,748
MappedFileStorage.storages,1754983233634000000,1754983293642000000,16
FilePageCache.pageLoads,1754983233634000000,1754983293642000000,234
FilePageCache.uncachedFileAccess,1754983233634000000,1754983293642000000,133
FilePageCache.pageFastCacheHits,1754983233634000000,1754983293642000000,4461
FileChannelInterruptsRetryer.totalRetriedAttempts,1754983233634000000,1754983293642000000,0
DirectByteBufferAllocator.disposed,1754983233634000000,1754983293642000000,0
StorageLockContext.competingThreads.max,1754983233634000000,1754983293642000000,0
FilePageCache.pageHits,1754983233634000000,1754983293642000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1754983233634000000,1754983293642000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1754983233634000000,1754983293642000000,2640922
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1754983233634000000,1754983293642000000,553294
MappedFileStorage.totalBytesMapped,1754983233634000000,1754983293642000000,202637312
StorageLockContext.competingThreads.avg,1754983233634000000,1754983293642000000,0.0
StorageLockContext.competingThreads.90P,1754983233634000000,1754983293642000000,0
FilePageCache.capacityInBytes,1754983233634000000,1754983293642000000,629145600
DirectByteBufferAllocator.misses,1754983233634000000,1754983293642000000,231
StreamlinedBlobStorage.recordsAllocated,1754983233634000000,1754983293642000000,36793
FilePageCache.disposedBuffers,1754983233634000000,1754983293642000000,3
DirectByteBufferAllocator.reclaimed,1754983233634000000,1754983293642000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1754983233634000000,1754983293642000000,8445
lexer.JAVA.size.bytes,1754983233634000000,1754983293642000000,7678
writeAction.max.wait.ms,1754983233634000000,1754983293642000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1754983233634000000,1754983293642000000,1442596
writeAction.median.wait.ms,1754983233634000000,1754983293642000000,0
lexer.JAVA.time.ns,1754983233634000000,1754983293642000000,7220918
parser.XML.size.bytes,1754983233634000000,1754983293642000000,649
parser.XML.time.ns,1754983233634000000,1754983293642000000,8428500
lexer.XML.size.bytes,1754983233634000000,1754983293642000000,649
parser.JAVA.time.ns,1754983233634000000,1754983293642000000,50608002
writeAction.wait.ms,1754983233634000000,1754983293642000000,0
parser.JAVA.size.bytes,1754983233634000000,1754983293642000000,7678
DiskQueryRelay.taskExecutionTotalTimeUs,1754983233634000000,1754983293642000000,310438
writeAction.count,1754983233634000000,1754983293642000000,12
lexer.XML.time.ns,1754983233634000000,1754983293642000000,301666
DiskQueryRelay.tasksExecuted,1754983233634000000,1754983293642000000,463
DiskQueryRelay.tasksRequested,1754983233634000000,1754983293642000000,1371
workspaceModel.mutableEntityStorage.resolve.ms,1754983233634000000,1754983293642000000,0
workspaceModel.load.cache.metadata.from.file.ms,1754983233634000000,1754983293642000000,8
workspaceModel.global.updates.count,1754983233634000000,1754983293642000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1754983233634000000,1754983293642000000,4
jps.load.project.to.empty.storage.ms,1754983233634000000,1754983293642000000,38
jps.global.handle.before.change.events.ms,1754983233634000000,1754983293642000000,0
jps.save.global.entities.ms,1754983233634000000,1754983293642000000,26
workspaceModel.mutableEntityStorage.entities.ms,1754983233634000000,1754983293642000000,0
