# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxThreadCount,1754983110516000000,1754983170611000000,132
JVM.usedHeapBytes,1754983110516000000,1754983170611000000,330924728
MEM.ramPlusSwapMinusFileMappingsBytes,1754983110516000000,1754983170611000000,1427011392
OS.loadAverage,1754983110516000000,1754983170611000000,2.6884765625
JVM.totalTimeToSafepointsMs,1754983110516000000,1754983170611000000,52
JVM.usedNativeBytes,1754983110516000000,1754983170611000000,421194280
JVM.totalTimeAtSafepointsMs,1754983110516000000,1754983170611000000,391
JVM.totalBytesAllocated,1754983110516000000,1754983170611000000,3482665784
MEM.ramBytes,1754983110516000000,1754983170611000000,1854390272
MEM.fileMappingsRamBytes,1754983110516000000,1754983170611000000,467910656
JVM.GC.collectionTimesMs,1754983110516000000,1754983170611000000,368
JVM.newThreadsCount,1754983110516000000,1754983170611000000,152
JVM.maxHeapBytes,1754983110516000000,1754983170611000000,2147483648
JVM.totalDirectByteBuffersBytes,1754983110516000000,1754983170611000000,33782203
MEM.ramMinusFileMappingsBytes,1754983110516000000,1754983170611000000,1313128448
JVM.GC.collections,1754983110516000000,1754983170611000000,57
JVM.threadCount,1754983110516000000,1754983170611000000,129
JVM.committedHeapBytes,1754983110516000000,1754983170611000000,636485632
JVM.totalSafepointCount,1754983110516000000,1754983170611000000,402
JVM.totalCpuTimeMs,1754983110516000000,1754983170611000000,54480
compiler.ArtifactManagerBridge.initBridges.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1754983110516000000,1754983170611000000,2
compiler.ArtifactManagerBridge.findArtifact.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactManagerBridge.commit.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1754983110516000000,1754983170611000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1754983110516000000,1754983170611000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1754983110516000000,1754983170611000000,0
Indexes.entries.lookupDurationMaxMs,1754983110516000000,1754983170611000000,0.0
Indexes.entries.lookupDuration90PMs,1754983110516000000,1754983170611000000,0.0
Indexes.stubs.lookupDuration90PMs,1754983110516000000,1754983170611000000,0.0
Indexes.stubs.lookupDurationAvgMs,1754983110516000000,1754983170611000000,0.0
Indexes.entries.lookups,1754983110516000000,1754983170611000000,68
Indexes.stubs.lookups,1754983110516000000,1754983170611000000,3372
Indexing.totalTimeIndexersSleptMs,1754983110516000000,1754983170611000000,0
Indexing.writesQueuedMin,1754983110516000000,1754983170611000000,9223372036854775807
Indexes.allKeys.lookupDurationAvgMs,1754983110516000000,1754983170611000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1754983110516000000,1754983170611000000,0
Indexing.writesQueuedMax,1754983110516000000,1754983170611000000,0
Indexes.entries.lookupDurationAvgMs,1754983110516000000,1754983170611000000,0.0
Indexes.allKeys.lookups,1754983110516000000,1754983170611000000,0
Indexes.allKeys.lookupDuration90PMs,1754983110516000000,1754983170611000000,0.0
Indexes.stubs.lookupDurationMaxMs,1754983110516000000,1754983170611000000,0.0
Indexing.cache.totalCacheEvicted,1754983110516000000,1754983170611000000,1506
Indexing.writer_0.totalTimeSpentWritingMs,1754983110516000000,1754983170611000000,0
Indexing.cache.totalCacheMisses,1754983110516000000,1754983170611000000,1506
Indexing.cache.totalCacheAccesses,1754983110516000000,1754983170611000000,4938
Indexing.writer_1.totalTimeSpentWritingMs,1754983110516000000,1754983170611000000,0
Indexes.allKeys.lookupDurationMaxMs,1754983110516000000,1754983170611000000,0.0
MappedFileStorage.totalBytesMapped,1754983110516000000,1754983170611000000,181665792
MappedFileStorage.totalPagesMapped,1754983110516000000,1754983170611000000,11
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1754983110516000000,1754983170611000000,27279360
DirectByteBufferAllocator.reclaimed,1754983110516000000,1754983170611000000,71
StreamlinedBlobStorage.recordsDeleted,1754983110516000000,1754983170611000000,3
MappedFileStorage.storages,1754983110516000000,1754983170611000000,11
FileChannelInterruptsRetryer.totalRetriedAttempts,1754983110516000000,1754983170611000000,0
DirectByteBufferAllocator.misses,1754983110516000000,1754983170611000000,244
FilePageCache.maxCacheSizeInBytes,1754983110516000000,1754983170611000000,224411648
FilePageCache.disposedBuffers,1754983110516000000,1754983170611000000,245
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1754983110516000000,1754983170611000000,553294
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1754983110516000000,1754983170611000000,2640922
FilePageCache.totalPageDisposalsUs,1754983110516000000,1754983170611000000,1064
FilePageCache.pageHits,1754983110516000000,1754983170611000000,0
StorageLockContext.competingThreads.max,1754983110516000000,1754983170611000000,0
StreamlinedBlobStorage.recordsRelocated,1754983110516000000,1754983170611000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1754983110516000000,1754983170611000000,9075
FilePageCache.maxRegisteredFiles,1754983110516000000,1754983170611000000,538
FilePageCache.capacityInBytes,1754983110516000000,1754983170611000000,629145600
FilePageCache.totalPageLoadsUs,1754983110516000000,1754983170611000000,141005
FilePageCache.pageLoadsAboveSizeThreshold,1754983110516000000,1754983170611000000,0
StorageLockContext.competingThreads.90P,1754983110516000000,1754983170611000000,0
FilePageCache.uncachedFileAccess,1754983110516000000,1754983170611000000,195
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1754983110516000000,1754983170611000000,56639488
StorageLockContext.competingThreads.avg,1754983110516000000,1754983170611000000,0.0
FilePageCache.pageFastCacheHits,1754983110516000000,1754983170611000000,5251
DirectByteBufferAllocator.disposed,1754983110516000000,1754983170611000000,216
FilePageCache.pageLoads,1754983110516000000,1754983170611000000,259
DirectByteBufferAllocator.hits,1754983110516000000,1754983170611000000,15
StreamlinedBlobStorage.recordsAllocated,1754983110516000000,1754983170611000000,36793
workspaceModel.mutableEntityStorage.entities.ms,1754983110516000000,1754983170611000000,0
workspaceModel.global.updates.ms,1754983110516000000,1754983170611000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1754983110516000000,1754983170611000000,69
workspaceModel.moduleBridgeLoader.loading.modules.ms,1754983110516000000,1754983170611000000,369
workspaceModel.save.cache.to.file.ms,1754983110516000000,1754983170611000000,84
workspaceModel.mutableEntityStorage.remove.entity.ms,1754983110516000000,1754983170611000000,0
workspaceModel.moduleBridge.before.changed.ms,1754983110516000000,1754983170611000000,0
jps.project.serializers.save.ms,1754983110516000000,1754983170611000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1754983110516000000,1754983170611000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1754983110516000000,1754983170611000000,0
jps.global.handle.changed.events.ms,1754983110516000000,1754983170611000000,0
workspaceModel.orphan.listener.update.ms,1754983110516000000,1754983170611000000,1
workspaceModel.sync.entities.ms,1754983110516000000,1754983170611000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1754983110516000000,1754983170611000000,0
workspaceModel.load.cache.from.file.ms,1754983110516000000,1754983170611000000,95
workspaceModel.mutableEntityStorage.referrers.ms,1754983110516000000,1754983170611000000,0
