# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1754982790542000000,1754982850568000000,0
lexer.XML.size.bytes,1754982790542000000,1754982850568000000,649
writeAction.max.wait.ms,1754982790542000000,1754982850568000000,8
lexer.JAVA.time.ns,1754982790542000000,1754982850568000000,9708119
lexer.HTML.size.bytes,1754982790542000000,1754982850568000000,1330
DiskQueryRelay.tasksRequested,1754982790542000000,1754982850568000000,924
writeAction.wait.ms,1754982790542000000,1754982850568000000,12
parser.HTML.size.bytes,1754982790542000000,1754982850568000000,1330
parser.JAVA.time.ns,1754982790542000000,1754982850568000000,51345332
parser.HTML.time.ns,1754982790542000000,1754982850568000000,1691958
parser.XML.time.ns,1754982790542000000,1754982850568000000,9206584
parser.JAVA.size.bytes,1754982790542000000,1754982850568000000,57516
lexer.JAVA.size.bytes,1754982790542000000,1754982850568000000,57516
lexer.HTML.time.ns,1754982790542000000,1754982850568000000,2002209
parser.XML.size.bytes,1754982790542000000,1754982850568000000,649
DiskQueryRelay.taskExecutionTotalTimeUs,1754982790542000000,1754982850568000000,450920
lexer.XML.time.ns,1754982790542000000,1754982850568000000,259292
writeAction.count,1754982790542000000,1754982850568000000,12
DiskQueryRelay.taskWaitingTotalTimeUs,1754982790542000000,1754982850568000000,599836
DiskQueryRelay.tasksExecuted,1754982790542000000,1754982850568000000,418
jps.module.iml.entities.serializer.load.entities.ms,1754982790542000000,1754982850568000000,14
jps.facet.change.listener.init.bridge.ms,1754982790542000000,1754982850568000000,0
jps.load.initial.state.ms,1754982790542000000,1754982850568000000,6
workspaceModel.global.apply.state.to.project.ms,1754982790542000000,1754982850568000000,13
workspaceModel.mutableEntityStorage.has.same.entities.ms,1754982790542000000,1754982850568000000,0
workspaceModel.load.cache.from.file.ms,1754982790542000000,1754982850568000000,84
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1754982790542000000,1754982850568000000,0
